id,custom_label_0
103814,Zombie
101767,Villain
104695,Sidekick
103594,Sidekick
102469,Sidekick
100726,Villain
101453,Fix-Me
104696,Sidekick
100443,Sidekick
103789,Zombie
100031,Villain
102523,Fix-Me
102917,Fix-Me
105502,Fix-Me
103687,Zombie
102900,Fix-Me
103343,Fix-Me
104429,Villain
102521,Fix-Me
100420,Hero
101641,Fix-Me
104685,Villain
105287,Zombie
100166,Zombie
104897,Fix-Me
104797,Zombie
102518,Fix-Me
100736,Zombie
105265,Zombie
103828,Hero
101316,Fix-Me
103373,Fix-Me
103528,Villain
102824,Fix-Me
103711,Zombie
103283,Sidekick
101024,Zombie
103634,Zombie
104957,Zombie
100112,Zombie
100034,Zombie
104682,Zombie
100433,Sidekick
100416,Sidekick
103303,Zombie
103533,Hero
100445,Zombie
101569,Villain
103929,Villain
100375,Hero
100992,Villain
100803,Sidekick
101866,Zombie
105281,Zombie
105124,Zombie
105144,Fix-Me
101507,Hero
105469,Fix-Me
104820,Zombie
103238,Zombie
104536,Sidekick
104722,Zombie
103794,Zombie
104959,Zombie
103631,Zombie
101027,Zombie
102498,Fix-Me
105114,Zombie
103206,Sidekick
103551,Hero
100988,Zombie
100218,Zombie
100204,Zombie
100758,Villain
104017,Fix-Me
100209,Zombie
105543,Sidekick
101045,Zombie
104726,Zombie
104044,Zombie
100858,Fix-Me
104440,Villain
100278,Zombie
101709,Zombie
104863,Sidekick
101684,Sidekick
100357,Zombie
101000,Zombie
100172,Zombie
101693,Zombie
100690,Zombie
103920,Hero
104146,Hero
105240,Fix-Me
100127,Zombie
101191,Villain
103725,Zombie
100401,Zombie
100227,Zombie
100213,Zombie
105304,Zombie
100450,Fix-Me
104951,Zombie
101117,Zombie
104021,Villain
101861,Zombie
104403,Zombie
101673,Fix-Me
101708,Fix-Me
101452,Villain
104554,Sidekick
104452,Hero
103846,Zombie
102412,Zombie
104088,Hero
100332,Zombie
104490,Fix-Me
103362,Fix-Me
101696,Zombie
100333,Zombie
103650,Zombie
100094,Zombie
103892,Zombie
104801,Zombie
101088,Zombie
104045,Zombie
101077,Zombie
103660,Zombie
104464,Fix-Me
105295,Zombie
105162,Fix-Me
104676,Hero
100075,Villain
100317,Newborn
101076,Zombie
101803,Zombie
105149,Zombie
101711,Zombie
103351,Zombie
105539,Zombie
102445,Zombie
101918,Villain
100297,Zombie
103372,Villain
101444,Sidekick
102553,Villain
104698,Zombie
103651,Zombie
101209,Hero
103915,Villain
100123,Zombie
104851,Fix-Me
102516,Fix-Me
104848,Zombie
105416,Fix-Me
103345,Fix-Me
104815,Zombie
103466,Zombie
